timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057288083,66,69028.76,69028.75,69028.76,0.01,290676,147,0.5350,1220.4759,907.0260,0.5737,69187.86,7.23,68971.82,6.13,[WALL APPEARED] ASK $69203.510  6.56 BTC
1772057289084,67,69028.76,69028.75,69028.76,0.01,90386,89,0.6656,1226.7440,913.5266,0.5732,69187.86,7.23,68971.82,6.13,[WALL APPEARED] ASK $69203.510  6.56 BTC
1772057290065,68,69028.76,69028.75,69028.76,0.01,49560,63,0.7120,1227.7692,913.5811,0.5734,69187.86,7.23,68971.82,6.13,[WALL APPEARED] ASK $70400.000  7.30 BTC
1772057291073,69,69028.76,69028.75,69028.76,0.01,156129,132,0.8528,1247.0268,920.2310,0.5754,69174.27,7.24,68971.82,6.13,[WALL APPEARED] ASK $69174.270  7.24 BTC
1772057292070,70,69028.76,69028.75,69028.76,0.01,71285,142,0.9987,1249.9193,927.3600,0.5741,69174.27,7.24,68971.82,6.13,[WALL APPEARED] ASK $69174.270  7.24 BTC
1772057293080,71,69042.96,69042.96,69042.97,0.01,899926,1463,0.8033,1338.7091,1005.7386,0.5710,69185.79,7.24,69021.59,6.13,[WALL APPEARED] ASK $69209.600  6.64 BTC
1772057294068,72,69042.96,69042.96,69042.97,0.01,326568,244,0.8561,1343.8133,1009.6873,0.5710,69185.79,7.24,69021.59,6.13,[WALL APPEARED] ASK $69209.600  6.64 BTC
1772057295066,73,69042.96,69042.96,69042.97,0.01,180898,366,0.4266,1356.6526,1040.4936,0.5659,69185.79,7.24,69021.60,6.13,[WALL APPEARED] BID $69014.650  6.12 BTC
1772057296069,74,69042.96,69042.96,69042.97,0.01,383795,357,0.8401,1401.9649,1053.5625,0.5709,69071.82,6.13,69021.60,6.13,[WALL APPEARED] ASK $69071.820  6.12 BTC
1772057297067,75,69042.96,69042.96,69042.97,0.01,104613,100,0.8120,1407.5277,1059.8555,0.5705,69071.82,6.13,69021.60,6.13,[WALL APPEARED] ASK $69071.820  6.12 BTC
1772057298074,76,69042.96,69042.96,69042.97,0.01,151630,94,0.9660,1425.2312,1068.7905,0.5715,69071.82,6.13,69021.60,6.13,[WALL APPEARED] ASK $69222.540  6.43 BTC
1772057299066,77,69042.96,69042.96,69042.97,0.01,72760,116,0.8160,1430.2758,1069.1385,0.5722,69071.82,6.13,69021.60,6.13,[WALL APPEARED] ASK $69222.540  6.43 BTC
1772057300061,78,69042.96,69042.96,69042.97,0.01,37310,68,0.8198,1431.4249,1069.7255,0.5723,69071.82,6.13,69021.60,6.13,[WALL APPEARED] ASK $69222.540  6.43 BTC
1772057301073,79,69046.01,69046.00,69046.01,0.01,463722,606,0.9997,1467.2231,1082.7834,0.5754,69063.31,6.13,69021.60,6.13,[WALL APPEARED] ASK $69187.670  7.23 BTC
1772057302067,80,69046.01,69046.00,69046.01,0.01,118070,193,0.6426,1471.7467,1121.0225,0.5676,69063.31,6.13,68914.21,7.24,[WALL APPEARED] BID $58000.000  279. BTC
1772057303076,81,69046.01,69046.00,69046.01,0.01,153005,259,0.0375,1475.9890,1135.8478,0.5651,69063.31,6.13,68914.21,7.24,[WALL APPEARED] BID $58000.000  279. BTC
1772057304067,82,69046.01,69046.00,69046.01,0.01,340985,225,0.0116,1479.2844,1152.9289,0.5620,69063.31,6.13,68914.21,7.24,[WALL APPEARED] BID $58000.000  279. BTC
